iter	RMSE
0	33997.03479
1	33357.92568
2	32678.21637
3	32064.28159
4	31502.05183
5	30954.89475
6	30398.84766
7	29844.28309
8	29321.11055
9	28833.23522
10	28369.03132
11	27908.87301
12	27466.61324
13	27030.91162
14	26614.92821
15	26237.98355
16	25859.76698
17	25551.20585
18	25212.32398
19	24863.95165
20	24481.66393
21	24159.3252
22	23819.63689
23	23539.42746
24	23204.95628
25	22896.44588
26	22647.5145
27	22389.32977
28	22134.48006
29	21853.51636
30	21577.11815
31	21322.52853
32	21079.08969
33	20793.93858
34	20570.11405
35	20335.70925
36	20103.81518
37	19878.90147
38	19651.75926
39	19419.7155
40	19199.69768
41	19012.5621
42	18844.5856
43	18664.26704
44	18486.10709
45	18332.20898
46	18154.0156
47	17996.02337
48	17786.0548
49	17609.86023
50	17469.84709
51	17324.6117
52	17134.48557
53	16969.12347
54	16809.72097
55	16678.49135
56	16557.5458
57	16415.03848
58	16280.5514
59	16141.94627
60	15993.03548
61	15853.42162
62	15726.51938
63	15602.41082
64	15477.84204
65	15376.07388
66	15266.95993
67	15140.4379
68	15023.10375
69	14910.56122
70	14834.65264
71	14765.26487
72	14702.58396
73	14633.97101
74	14529.69275
75	14393.78244
76	14332.11768
77	14243.84103
78	14139.73581
79	14072.59453
80	13977.85423
81	13877.64317
82	13797.29474
83	13743.38445
84	13670.20982
85	13589.81925
86	13499.63811
87	13425.55123
88	13384.71686
89	13288.21469
90	13212.53854
91	13154.32294
92	13095.34348
93	12994.46264
94	12910.22103
95	12836.04668
96	12760.19661
97	12676.45326
98	12632.8171
99	12597.17012
100	12536.99838
101	12467.82473
102	12428.04295
103	12398.33287
104	12328.87782
105	12280.02352
106	12245.93108
107	12171.9624
108	12141.38291
109	12052.51307
110	11976.71842
111	11901.72536
112	11830.4951
113	11801.43426
114	11735.51922
115	11674.35028
116	11605.48506
117	11571.90915
118	11498.59566
119	11438.15633
120	11381.23348
121	11331.55689
122	11300.44952
123	11270.48326
124	11239.20482
125	11187.48926
126	11166.17984
127	11105.44763
128	11039.23004
129	10994.67427
130	10958.05688
131	10931.24863
132	10880.83215
133	10838.23366
134	10781.56406
135	10756.19058
136	10720.56292
137	10664.93303
138	10603.1507
139	10552.67009
140	10483.07943
141	10454.06474
142	10402.48914
143	10388.33384
144	10347.6937
145	10328.16251
146	10283.48606
147	10236.68861
148	10218.30334
149	10184.15203
150	10133.57311
151	10093.46349
152	10060.64409
153	10006.56526
154	9957.385218
155	9929.048356
156	9887.18275
157	9842.776593
158	9800.881312
159	9752.406882
160	9701.331224
161	9639.213378
162	9617.161062
163	9594.78173
164	9539.957208
165	9512.888579
166	9464.613155
167	9416.413083
168	9361.504058
169	9349.486085
170	9323.688938
171	9291.058353
172	9251.842161
173	9200.315936
174	9161.921416
175	9110.789707
176	9089.65993
177	9037.708264
178	9022.888856
179	8976.52969
180	8941.406081
181	8906.509971
182	8874.324928
183	8841.747715
184	8828.611874
185	8802.403924
186	8780.646972
187	8738.923028
188	8694.073174
189	8657.041266
190	8621.69497
191	8578.517769
192	8538.293596
193	8498.601351
194	8461.903736
195	8447.640511
196	8439.353356
197	8402.51678
198	8390.526977
199	8373.003741
200	8357.646685
201	8327.475587
202	8318.665552
203	8280.52894
204	8258.914285
205	8240.671446
206	8227.451905
207	8188.802424
208	8143.010175
209	8112.508852
210	8078.185667
211	8044.598156
212	8012.444666
213	7992.201799
214	7955.662541
215	7915.443298
216	7882.797221
217	7868.897985
218	7855.61224
219	7822.574609
220	7790.201579
221	7756.192491
222	7724.8971
223	7699.364629
224	7666.645985
225	7658.928596
226	7650.37824
227	7625.373331
228	7597.865424
229	7564.919796
230	7535.716535
231	7517.282714
232	7483.964255
233	7470.067826
234	7464.327928
235	7446.561949
236	7439.706606
237	7422.38484
238	7399.431452
239	7395.189708
240	7388.941972
241	7382.981845
242	7377.605226
243	7368.689229
244	7363.273144
245	7360.127336
246	7357.806565
247	7353.882515
248	7316.88858
249	7312.809125
250	7306.885541
251	7286.348494
252	7263.670284
253	7239.01315
254	7236.032038
255	7232.260252
256	7199.847549
257	7173.658055
258	7168.914614
259	7145.568919
260	7119.97037
261	7087.510233
262	7057.853282
263	7028.79333
264	7007.154499
265	6980.893299
266	6963.252482
267	6937.657333
268	6911.962734
269	6886.481515
270	6883.798394
271	6860.86537
272	6836.652248
273	6819.171442
274	6804.187808
275	6778.183641
276	6754.581683
277	6732.496062
278	6704.961863
279	6688.862359
280	6657.947594
281	6625.663866
282	6601.884362
283	6579.834545
284	6559.53088
285	6528.439224
286	6509.929282
287	6489.978311
288	6458.638163
289	6436.279592
290	6411.864239
291	6396.839042
292	6378.198789
293	6356.949648
294	6337.426852
295	6319.362566
296	6299.697834
297	6281.179603
298	6263.324727
299	6240.179553
300	6227.410632
301	6207.76421
302	6190.529142
303	6173.099183
304	6158.677866
305	6132.457697
306	6111.137946
307	6093.505145
308	6072.243473
309	6060.055288
310	6046.826
311	6030.101758
312	6012.693183
313	5995.58094
314	5978.400158
315	5962.961636
316	5961.263729
317	5946.681986
318	5932.204067
319	5915.269213
320	5913.622285
321	5911.608466
322	5885.969348
323	5869.024025
324	5867.644527
325	5866.099863
