iter	Passed	Remaining
0	139	139220
1	145	72372
2	150	49943
3	154	38528
4	158	31565
5	162	26964
6	166	23570
7	169	21004
8	171	18927
9	175	17333
10	177	15978
11	180	14840
12	182	13873
13	186	13105
14	188	12387
15	191	11782
16	194	11231
17	196	10741
18	199	10311
19	202	9916
20	204	9543
21	207	9242
22	211	8969
23	214	8717
24	216	8447
25	220	8261
26	224	8088
27	226	7875
28	230	7704
29	233	7558
30	237	7435
31	240	7276
32	243	7129
33	246	6997
34	249	6888
35	253	6786
36	256	6665
37	259	6560
38	263	6488
39	266	6394
40	269	6298
41	272	6210
42	276	6158
43	280	6087
44	282	5999
45	285	5916
46	288	5845
47	291	5790
48	294	5719
49	297	5644
50	299	5572
51	304	5551
52	308	5514
53	311	5452
54	313	5389
55	317	5354
56	320	5307
57	323	5253
58	325	5193
59	327	5138
60	331	5103
61	335	5076
62	337	5025
63	340	4973
64	343	4941
65	346	4909
66	350	4883
67	353	4847
68	357	4830
69	362	4814
70	365	4779
71	367	4738
72	371	4718
73	375	4694
74	377	4658
75	379	4619
76	382	4580
77	385	4557
78	388	4533
79	391	4499
80	393	4463
81	395	4428
82	398	4404
83	401	4380
84	404	4355
85	406	4319
86	408	4289
87	411	4260
88	415	4252
89	417	4224
90	420	4195
91	422	4165
92	424	4140
93	427	4119
94	430	4101
95	432	4074
96	434	4048
97	436	4021
98	440	4012
99	444	3999
100	447	3981
101	449	3957
102	451	3933
103	455	3925
104	458	3906
105	461	3890
106	463	3867
107	465	3848
108	468	3832
109	471	3818
110	474	3803
111	478	3791
112	481	3777
113	484	3767
114	486	3746
115	488	3724
116	490	3704
117	502	3752
118	503	3730
119	505	3709
120	508	3693
121	511	3680
122	514	3666
123	516	3645
124	517	3625
125	519	3605
126	522	3592
127	525	3580
128	528	3568
129	530	3549
130	532	3531
131	534	3513
132	537	3502
133	540	3491
134	542	3477
135	544	3461
136	546	3443
137	548	3425
138	551	3416
139	554	3408
140	557	3394
141	558	3377
142	561	3364
143	563	3348
144	567	3345
145	569	3333
146	572	3322
147	574	3308
148	576	3294
149	579	3285
150	583	3278
151	585	3265
152	587	3252
153	589	3237
154	591	3224
155	595	3220
156	598	3212
157	600	3198
158	602	3188
159	604	3174
160	607	3165
161	610	3158
162	612	3147
163	615	3136
164	617	3123
165	618	3109
166	622	3103
167	625	3096
168	627	3086
169	629	3073
170	632	3064
171	635	3057
172	639	3055
173	642	3048
174	644	3038
175	647	3030
176	651	3029
177	654	3021
178	656	3013
179	659	3005
180	664	3004
181	667	3000
182	670	2991
183	672	2983
184	675	2976
185	679	2971
186	681	2964
187	684	2955
188	686	2945
189	690	2942
190	694	2941
191	697	2934
192	699	2924
193	702	2917
194	705	2913
195	709	2910
196	728	2969
197	731	2964
198	738	2970
199	741	2965
200	744	2959
201	749	2960
202	753	2957
203	756	2953
204	759	2946
205	766	2955
206	772	2958
207	778	2962
208	782	2962
209	785	2955
210	788	2947
211	792	2944
212	795	2940
213	798	2932
214	801	2924
215	804	2919
216	809	2919
217	812	2913
218	814	2905
219	820	2909
220	824	2905
221	826	2897
222	830	2892
223	834	2891
224	841	2897
225	844	2892
226	850	2895
227	854	2891
228	856	2883
229	858	2874
